OUTPUT GOES HERE

Current time: Wed May  8 11:30:48 2019
 
Number of Buffers: 7
Number of Producers: 7
Number of Consumers: 9
Number of items Produced by each producer :15
Number of items consumed by each consumer :11
Over consume on?: 1
Over consume amount: 6
Time each Producer Sleeps (seconds): 1
Time each Consumer Sleeps (seconds): 1
1 Was produced by Producer->    5
2 Was produced by Producer->    5
3 Was produced by Producer->    3
1 Was consumed by Consumer->    2
4 Was produced by Producer->    3
5 Was produced by Producer->    6
2 Was consumed by Consumer->    4
3 Was consumed by Consumer->    5
4 Was consumed by Consumer->    3
6 Was produced by Producer->    3
7 Was produced by Producer->    6
5 Was consumed by Consumer->    4
6 Was consumed by Consumer->    6
7 Was consumed by Consumer->    7
8 Was produced by Producer->    5
9 Was produced by Producer->    5
10 Was produced by Producer->   3
11 Was produced by Producer->   3
12 Was produced by Producer->   6
8 Was consumed by Consumer->    8
9 Was consumed by Consumer->    8
10 Was consumed by Consumer->   2
11 Was consumed by Consumer->   4
12 Was consumed by Consumer->   5
13 Was produced by Producer->   6
14 Was produced by Producer->   3
13 Was consumed by Consumer->   3
14 Was consumed by Consumer->   4
15 Was produced by Producer->   5
16 Was produced by Producer->   5
17 Was produced by Producer->   6
18 Was produced by Producer->   3
19 Was produced by Producer->   3
20 Was produced by Producer->   6
21 Was produced by Producer->   3
15 Was consumed by Consumer->   5
16 Was consumed by Consumer->   7
17 Was consumed by Consumer->   8
18 Was consumed by Consumer->   8
19 Was consumed by Consumer->   2
20 Was consumed by Consumer->   6
21 Was consumed by Consumer->   4
22 Was produced by Producer->   5
22 Was consumed by Consumer->   4
23 Was produced by Producer->   5
24 Was produced by Producer->   3
23 Was consumed by Consumer->   5
25 Was produced by Producer->   6
24 Was consumed by Consumer->   8
26 Was produced by Producer->   3
25 Was consumed by Consumer->   3
27 Was produced by Producer->   3
28 Was produced by Producer->   6
26 Was consumed by Consumer->   7
27 Was consumed by Consumer->   6
28 Was consumed by Consumer->   2
29 Was produced by Producer->   5
29 Was consumed by Consumer->   8
30 Was produced by Producer->   5
